contributor,r2,explained_variance
0crat,-58.01917920359111,-11.699563184444221
24emebot,-0.11497140524103067,0.05820236676218482
333363,-0.15186531416606863,0.1872988821498638
335498,-5.222662001623909,-2.636029494275134
335745,-5.19737993565823,-4.743263308501819
336933,-0.812166372339058,-0.6035458480343285
337596,-11.759269020934315,-7.516619443119085
337795,0.24023285657222881,0.26544217201727816
338563,-0.4360167572206144,-0.24081891303179837
338564,-2.3146299806234407,-2.2186657381975503
338777,-0.18441227036762076,-0.14808081472093648
343769,0.018165199647865227,0.03355620772764012
345888,-0.3148514372388289,-0.0334661241657932
345943,-1.546020680014403,-0.6528280516423932
347836,-0.05466046527961166,-0.03790932587652818
348396,-0.07543282931367323,-0.0676805338467823
349694,0.08514033677965571,0.09072616577077808
349859,-0.455172806859679,-0.06300648921676566
349934,-19.01741376602338,-4.072289149238363
353444,-0.5514148231666207,-0.3003496586564862
353836,-0.1868097853790911,0.011155756111204007
353877,-611.5616580568864,-111.56196003011343
354976,-0.09090909090909105,0.0
355383,-1.2258635733318974,-0.21749778443584367
356376,-2.547352163838459,-1.1812337747168766
357948,-0.888574862878615,-0.7970175742875947
358697,-0.13472062459567313,0.08932937248594242
358944,-0.22408159559043406,-0.00511027664032615
359384,-0.422284183983483,-0.35697360396196665
359753,-0.15302305659533189,-0.15219253908866714
359854,-1.1311107495301318,-0.08789375702351432
359935,-0.4453462536900301,-0.09198445679413725
363388,-0.7957714078430362,-0.5066311468952032
363447,-0.9615720850352281,-0.4113063312938292
363699,-0.792100858722343,-0.779481587727135
363879,-0.2147658100831975,-0.05932879867604157
364454,-0.2901212558717783,-0.24634777255507423
364534,-0.42914181451071554,-0.3239518044019438
364566,-0.25731475093996203,-0.006094330238225476
364686,-0.7830814092331528,-0.4966428787038992
365936,-0.629792950732097,-0.08553979119198951
366635,-0.25601735418691574,-0.07458673148780393
367533,-7.480191086114594,-3.4393451029100675
367939,0.2853517338374809,0.3826597055893053
368375,-0.6933061831806315,-0.10412871767281384
368755,-1.0000692776223605,-3.513762393847486e-05
368993,-0.07692307692307687,0.0
369554,-1.8898215530423434,-1.8593364696868684
369689,-0.2501197838892244,-6.388377012433999e-05
373693,-0.2490959685009173,-0.14687623081892998
373769,-0.04227403016519382,-0.038759368554011964
374443,-0.20960470385799423,-0.08296799094529583
374476,-0.3039073697938752,0.040020346421499875
374774,-0.12028002811805094,-0.08451496615423726
375995,-2.8385433130630773,-1.6390908065682566
376565,-0.125,0.0
376887,0.10156740423840227,0.17820892715042114
377354,-1.5615951971361968,-0.1055940124391368
377538,0.1217904819130563,0.1515279505442042
377543,-0.27523060037008107,-0.13700640111544904
378448,-19.4979573310309,-1.8427925215740233
378759,-1.7137344934487704,0.24110383355388354
379794,-4.747023055044134,-4.009058085524885
385475,-27.352250439001025,-4.243319145595262
386365,-0.36395372308828855,0.031187480104931775
386437,-73.11799426673225,-7.203292670152434
386548,-8.446405133306671,-3.7072539061630234
387658,-0.32455256223388984,-0.23157641351420444
387854,-0.04391461664702678,-0.02491881566310039
388473,-0.4384147144902506,-0.08668996210857416
389363,-0.04144947867038051,0.00782986007410591
393763,-0.10088113053918235,0.020872804416490864
394433,-0.3937732101423619,-0.03438449379144837
395599,-0.3333333332544193,5.3304027858303016e-11
396339,-0.08111740942849277,-0.03451296111176583
396879,,1.0
397663,-0.26985038760836844,0.04485483551651481
398997,-0.09218031035779961,-0.08655919020766634
433849,-4.287234146873438,-1.5313824232607551
433973,-9.973687925038371,-2.8277039472006864
434948,0.0011270837922163768,0.04590453422293539
434975,-1.1407941158569628,-0.5643044105841983
435659,-6.929101203118996,-1.4797968968857926
436346,-6.288820272016858,-0.6342787695913699
436387,-3.091525122694594,-0.5470904934521981
436955,-0.3068085333791637,-0.034148823137545525
436988,-15.294666508099233,-8.615653528635997
437357,-14.137865887174172,-2.8475178842665883
437693,-0.2658982101402336,0.35900093522748533
437766,0.24808107389028988,0.25070787249431714
437837,-8.83221276389502,-1.413538457635441
438655,-0.1104513752979499,-0.007722903872681597
439837,-0.2967347550703745,-0.06556411510394744
443453,-0.01598394504508338,0.05434636348799882
443468,-4.408967237630707,-0.9877928864304173
443996,-0.5024701966770337,-0.42781539152418313
444337,-33.071930714849614,-25.811071204816013
446498,-3.777699226217785,-0.586078092262134
446566,-0.38861951800032846,-0.3678708171636953
446843,-13.161883981645685,-0.3964178890891987
446863,-19.1133595178646,-7.033144709013772
446948,-0.24573845942488015,-0.05670583746593194
448379,-0.16712615733648173,-0.12691483270802872
448793,-100.9463569462722,-60.11520082612656
448965,-0.5177530575124127,0.02840184984053873
449339,-0.21185629211416068,-0.00012516434994891412
449343,-0.4378510780533207,-0.1001390966263418
449446,-0.23958213898836633,-0.11454703769262431
449544,-0.5043679286963527,-0.011612404780281693
449583,0.09970549449531063,0.13433110278771754
449773,-2.7636868858471373,-0.5343733263680497
454365,-4.256813426259088,-1.2435426152249751
454496,-0.3386290592278318,-0.30439375156937065
454638,-0.28639142471958756,-0.25858922279377516
455745,-0.6714175333147172,0.25732792667737414
456393,-1.039253682413797,-1.0010786267585483
456995,-0.3923617275787623,-0.11285580576625542
457494,-0.20118807175631614,-0.00814400904379653
457777,-0.1095413042989164,-0.016283918426698296
457896,-0.6832782906867148,-0.45150643124292245
458693,-0.09312561810685094,-0.03548654270985341
459877,-0.846756038579664,-0.39658507335486326
463557,-0.13535543220029145,-0.1294756287151062
463738,-1.7302255088365266,-0.6625126806199231
463988,-0.5612590114625178,-0.20427153564833334
463999,-1.0961343616067563,0.08991245952179039
464495,-10.07296166766791,-1.512578174947174
465566,-6.0961108420197725,-0.5336860726123605
466348,-0.2001334222815212,0.0
466955,,1.0
467564,-1.053285002791168,-0.33164007208240154
467939,-3.4434521609773174,-0.5014242759610201
468839,-0.10946585508512618,-0.02944236449706117
468884,-0.9680400217962648,-0.807974655291968
469344,-0.34063077541147213,-0.32991112182405335
469556,-572.8919129410266,-139.0597241285007
469589,-0.19999999998887374,1.900035684343493e-12
469755,-0.6661272365561601,0.09389903638307373
473365,-13.610002188837088,-0.932130474014851
473387,-0.3586652448871894,-0.3472157923488215
473697,-0.3383827126148333,-5.9315387626268645e-05
473965,-4.345631371337061,-0.2608659990470015
474598,-0.0813903335694266,-0.03609844163937925
474644,-0.5689114099421846,-0.5473166735156396
475849,0.04814908255156336,0.07784782015032887
476676,-18.219258857146972,-4.237029384270105
477334,-0.38740642897545263,-0.036968965588842995
477943,-9.78849991786306,-2.9050458560965002
478367,-1.1034172346397209,-0.2408402515580521
478466,-1.5625796782719226,-0.752612265310268
478866,-0.5231392379592237,-0.28712939675323157
479493,-1.035326048730846,-0.38352017398546345
483648,-0.29820948866331887,-0.1719381782403635
484388,-0.2802856571817287,-0.2669132915637418
486593,-0.1489524445178334,0.012971007339030671
486774,-2.813874827220052,-1.1784170039914974
487355,-12.144172542117673,-7.5202407250398
489458,-0.21808829330804302,-0.1613516329360125
489658,-0.2928385442227488,0.031539222238020526
489848,-0.9119898868796092,-0.8826083979588837
493947,-0.24723839056561925,-0.1777320816141592
495689,-1.7487953543557624,-1.0725616752465421
496356,0.0,0.0
496387,-0.49836625666536416,-0.48955053752208144
496453,-19.811464349231898,-12.863634476859517
496659,-0.4671534317883239,-0.09066152088782076
497576,-0.07167974477403272,-0.005893008182854986
499678,-0.17108233395631633,0.005006338436903235
499743,-236.10472448259173,-33.19894647873923
499979,-0.7352103875544489,-0.6296701469475832
499983,-0.3332601604758578,3.658680071383369e-05
533398,-0.3333333332544193,5.3304027858303016e-11
533665,-0.032071394075575244,-0.012531811032612694
533844,-31.997461729512565,-14.167623508594673
535498,-1.1541999372098681,-0.40828036297947046
535599,-0.36255445754202253,-0.2722612236792572
536859,-0.059162080324204114,0.0006186715143723376
537443,0.1674612488177425,0.17931906923329577
537484,0.21618923675429647,0.2297431456475164
538454,-1.1730316308458462,-1.0855165144179035
538694,-0.21277795588152815,-0.010966669965451592
543595,-1.4962948307397972,-0.9102469754796727
543695,-0.6665236906692806,4.37325197334415e-05
543733,-0.3751067508374135,-0.05113080422402683
545376,-0.3043745533073614,-0.3042082547270275
545498,-1.4795071001889517,-0.5398122214940178
546777,0.011215311008605289,0.03926200989022555
547554,-0.14232006780194473,-0.10467770439901525
547574,-0.3252377273616336,0.0724982383491134
549669,-1.2847002247362331,-0.04143002128875195
549789,-0.2789308726569808,-0.037069031880427206
553976,-0.04128130769547189,-0.03696766043977062
555836,-0.0625,0.0
556594,-6.229522340560038,-0.9606818860472253
557695,-0.35746651533004314,0.011756816263201575
558473,0.2539432971392531,0.25705791272946676
558887,-0.05233711063881619,0.011304532715290971
559797,-0.1257414985073464,-0.017759376364570256
559953,-1.0815728593415561,-0.8347618207779237
563573,-0.4074285645491862,-0.08543750820649532
563753,-1.3989570505101843,-1.1223770134765214
563935,-0.4360299668154004,-0.41698334491072764
564637,-0.0242300146018557,0.03992930525100247
565433,-0.0011386540382256616,0.00889747865136259
565674,-0.31422712164173605,-0.009481824732424649
567384,-0.20854148018957908,0.09080299410733528
567396,0.2168150064244938,0.3468224707609322
567575,-0.2412160715881675,-0.17293874938493126
567743,-1.1120277398627634,-1.1120215374484728
568475,-0.8209786393208711,-0.15261816806734774
568754,-1.1091486269376856,-0.7904244174709134
573487,0.03370260046001994,0.061879498005814715
574687,-1.9725513825467553,-0.6812791180236484
575683,-0.09613316782561587,-0.008335891254289018
576336,-0.172464748452829,-0.004497633682556401
576539,-6.414118545201046,-1.2509851083063888
576873,-0.5690531062097668,-0.10440632343810718
576973,0.24273363194672126,0.24616467952758236
577434,-1.0083676040066067,-0.06420651681242484
577888,-0.7942451320125712,-0.41299058237576913
578438,-0.29824890215622446,-0.2461629567813326
578584,-1325.307430013254,-589.2850914667412
578794,-0.2617567869613586,-0.24661351590690006
579369,-0.6280395623029014,-0.5202612378919285
579396,-1.2855455550591146,-1.0050895545233494
583375,-3.2343896386186772,-1.5021279601559323
583434,-0.7153164586148681,-0.15726049843143985
583469,-2.1960311029512942,-1.5203693468797113
583997,-0.05650741397960468,0.08754797769053846
584676,-2.3587117575716956,-0.2443417673619659
584749,-4.483075368049814,-1.2412076672364933
584947,-0.10557463244854004,-0.062487694249216075
585439,-0.8925901154137699,-0.0037702772939720575
585684,0.019913556404016153,0.06228503047082756
585958,-0.09733402690600945,-0.0622923626856593
586656,-7.391995664757157,-0.9657252032763821
587344,0.030907514311802164,0.035414737210700986
588686,-0.033658202975823226,-0.01130211775162171
589375,-0.6801271158577042,-0.023288156837926177
589696,-0.5586600054351307,-0.5551855623034208
593669,-75.7204370837715,-12.445558674942781
594465,-0.47035842314172505,-0.082958683639343
596479,0.03467459257653105,0.05139798305012766
596937,-3.075237322905794,-2.85207666786671
597469,-0.3503856201722706,-0.09660231158924515
597849,-1.6179996757106307,-1.0792810690492982
5iMON-bot,-0.41468363412958875,-0.08841426332803781
633676,-2083.930518926745,-885.761015992847
635385,-0.9477840048778308,-0.7363533603528045
637953,-0.7649295042689788,-0.4790436586596498
638655,-7.931441172421218,-2.403893039555856
639575,-0.16914066216414736,-0.04474190233701947
639846,-0.09195402298850563,0.0
645363,-0.4171248204085436,-0.14196536695551876
645576,-0.16312798558394803,0.020598345799747952
645898,-0.2359579868925421,0.011454938986077745
645955,-1.2442672741139735,-0.4794267508171062
646677,-0.7473195028776105,-0.15835287044708668
646795,-0.5278475722181819,-0.4596470734130973
647797,-0.7500368145298821,-0.32763662438267205
648356,-24.749721496327354,-4.836197467518444
648358,-0.06934872228316791,0.002997647334474607
648485,0.021793971007246893,0.0346503839269503
648865,0.07491528527425562,0.0876774695754301
653456,-0.6925338370655523,-0.0866600603524652
653486,-2.944601568036948,-2.0213824618445186
655683,-2.1362196509087594,-1.2420329309216385
655796,-0.11927701884262665,-0.0623786524453922
655975,-0.12680963606380846,-0.09040268313661604
656434,-0.20676595025983802,-0.05665690323175809
656549,-5.024493087693913,-0.8592189966278552
656596,-0.1606280315361568,-0.15790017964401293
656855,-0.34558928479513473,-0.2762234270938082
657596,-0.5656269512005314,-0.14434605908372689
657698,-0.8317844405204573,-0.17798623989509643
657995,-0.6313237534266702,0.2374496040822872
658766,-0.46825118199259896,-0.31261719738503935
658863,-19.87111724213499,-4.991907618878052
658938,-0.9381367731255552,-0.28964061231058724
658977,-0.24359667316721723,-0.11372192251225455
659997,-0.13962127231556298,-0.06865388714708409
664453,-0.2064610145716106,-0.016803442827837634
664498,-0.008339779173593964,0.042208876904243464
664693,-3.773979085561039,-0.41325412269083217
664899,-6.554560449433077,-5.27941452547626
665979,-0.316225031961926,-0.02097931312946777
666395,-0.4039782390958131,-0.06653397879646894
666743,-0.11693342501515525,0.04302576601085473
667569,-0.20117641956203514,0.00042700785895821713
667666,-0.13681131180413297,-0.07301804102370468
668373,-0.15905733275200906,0.009953641674559366
668454,-1.7768792821953268,-0.027113601413984112
668867,0.1377196281394173,0.1827583183886945
669693,0.0039027103490927306,0.005638960477475807
673338,0.14301896732594854,0.1464669979256943
674548,-0.18205020986003095,-0.016467302882776202
674583,-0.2572514666850463,-0.24071403049987405
674866,-6.677401558390088,-3.5369098243215626
675334,-0.32872499725492776,-0.314184204889018
675547,-0.5008495856789905,-0.2027790330965915
675833,-0.08613308701768863,0.15151980101920925
677584,-5.296962532920832,-1.15243528519371
677878,-0.5046290742559176,-0.1791961719889943
678593,-0.2628275081233207,-0.2620858643621933
678649,-0.27337975504352374,-0.1426649171940868
678943,-0.4459573277654103,-0.2836115564812831
679765,-0.2693529741246794,-0.01008043734326547
679936,-0.49899460847422383,-0.4686706544385604
679968,-0.10731766289722589,-0.05608218264530085
679979,-0.05509309173708643,0.006803039566044999
683945,0.054924019831980364,0.055605175139649576
684587,-0.09289117337136998,-0.06524194535205874
685747,-0.29076065453418765,-0.0012767581427310937
689388,-0.32608098607504044,-0.3258455365500468
689788,-0.7826259966013707,-0.7795452980415714
689997,-2.5323701470162643,-0.42593256567689974
693537,-0.28005785752739043,0.002810552710361569
693656,-2.0110862017831392,-1.1966933628278573
695445,-0.0754209512045656,-0.07317663606272862
695756,-17.966562133213916,-0.11232115026240463
695767,-0.4388862348760192,-0.24995529848912734
695867,-0.05865122769219289,-0.00014108319763295185
695957,-1.494908389692991,-0.5318589503650171
696399,-0.43441778823840016,-0.4057319629554812
698436,-0.42204872059438214,-0.27791129107640833
698653,-0.19007827813588873,0.0009601839187487471
699495,-0.7776246368976047,-0.10714962782622872
699885,-371.83417603573383,-17.676497669651607
733386,-0.055812056043607505,0.02719222773104124
733774,-3.73298873019917,-1.5329233674118985
733776,-0.2988744381434201,-0.004212920542947529
734385,-1.0347311501661047,-0.8702026469482134
734886,-0.4972815123013967,-0.49418917759492165
735888,-0.08972481213706862,0.025556373097841867
735987,-0.2326315031187829,-0.030500020941904626
736549,-0.09793223548599572,-0.016241851219118253
738369,-0.3195037861130037,-0.024065200033955625
738443,-0.977667085447911,-0.6795305684412822
738743,-0.5383053762898191,-0.076767638677816
738779,-1.2271749073403675,-0.40405574965116564
739465,-1.0421595964988706,-0.6570427090799829
739663,-0.20989433586939876,-0.16315824195321338
739843,-0.1297933780221856,-0.0061278515948397505
739899,-0.3199619241061802,0.051931304262296196
743485,-0.0017185919071152078,0.006179213509122539
744346,-0.0013431562363610539,0.009310975759637352
744399,-2.038053322829449,-1.5509726100345778
744856,-11.81515859550423,-0.9227872701550697
745376,-0.004974010661545458,-0.0009509401711544907
745453,-0.41470255983693294,-0.12596898803770018
