contributor,category,r2,mae,rmse,pga,ctd_100,ctd_200,ctd_300,n_activities,true_values,predicted_values
0crat,bot,-28.182812967389182,1.7636893316773221,4.623032505723511,0.5228706624605678,-27,554,2160,299,[5 0 0 ... 0 0 2],"[-1.08652467e+01 -2.99760217e-14  1.90000000e+01 ...  3.00000000e+00
  9.34807787e-14  1.00000000e+00]"
AppVeyorBot,bot,-1.8052984080488739,0.9208854942062745,1.3605258890330612,0.49122807017543857,14,43,35,300,"[2 0 0 0 0 1 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 1 0 1 0 2 1 0 2 1 1 3 2 2 0 2
 1 0 1 0 0 1 0 0 0 1 2 0 0 1 0 1 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 2 0 0 2 0 2 1 2 3 2 0 0 0 0 1 2 2 1 1 0 1 1 0 0 1 1 1 1 2 2 2 0
 0 1 2 2 0 2 0 0 0 0 1 1 0 0 0 1 2 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0
 1 0 0 1 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 1 2 1 1 0 0 0 1 0 0 0 0 0 2 1
 0 0 0 0 2 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1
 0 0 0 0 2 1 4 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 0
 1 0 0 1 4 3 2 1 4 0 4 2 1 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 1 2 2 1 1 1 0 0 2
 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 2 1 1 1 0 0 1 0 0 0 1 2 0 0 0
 0 0 1 1 1 1 1 1 0 0 1 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 2 0 0 0
 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 1 1 2 2 1 0 0 0 1 1 0 1 1 0 1 0 1
 0 0 0 0 3 3 0 2 0 0 3 1 0 0 2 2 0 0 1 2 0 0 1 0 1 3 0 0 1 2 3 0 0 0 2 1 0
 0 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 0 0 0 1 1 1 3 0 0 1 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 2 0 0 2 0 1 2 1 0 2]","[-2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -5.66213743e-15  1.00000000e+00 -3.88578059e-15
 -7.88258347e-15  6.77236045e-15 -7.77156117e-16 -5.21804822e-15
  2.77555756e-15  1.00000000e+00  1.88737914e-15  9.99200722e-16
  1.44328993e-15  1.11022302e-16  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -6.10622664e-15  1.00000000e+00 -3.44169138e-15
 -7.43849426e-15  7.21644966e-15 -1.66533454e-15 -4.77395901e-15
  2.77555756e-15  1.00000000e+00  1.88737914e-15  9.99200722e-16
  1.44328993e-15 -3.33066907e-16  5.55111512e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -5.21804822e-15  1.00000000e+00 -4.32986980e-15
 -6.99440506e-15  6.77236045e-15 -1.66533454e-15 -4.32986980e-15
  2.33146835e-15  1.00000000e+00  1.88737914e-15  5.55111512e-16
  1.44328993e-15 -7.77156117e-16  9.99200722e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.07611706e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -4.77395901e-15  1.00000000e+00 -4.77395901e-15
 -6.10622664e-15  6.77236045e-15 -2.10942375e-15 -4.32986980e-15
  1.88737914e-15  1.00000000e+00  1.44328993e-15  9.99200722e-16
  1.44328993e-15 -7.77156117e-16  9.99200722e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.98729921e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -4.32986980e-15  1.00000000e+00 -4.32986980e-15
 -5.66213743e-15  7.21644966e-15 -2.99760217e-15 -4.32986980e-15
  1.44328993e-15  1.00000000e+00  1.88737914e-15  9.99200722e-16
  1.44328993e-15 -3.33066907e-16  5.55111512e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.98729921e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -5.21804822e-15  1.00000000e+00 -2.55351296e-15
 -6.10622664e-15  6.77236045e-15 -2.99760217e-15 -3.44169138e-15
  9.99200722e-16  1.00000000e+00  2.77555756e-15  1.44328993e-15
  1.44328993e-15 -7.77156117e-16  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -7.43849426e-15  1.00000000e+00 -2.10942375e-15
 -6.10622664e-15  7.66053887e-15 -3.44169138e-15 -2.99760217e-15
  1.11022302e-16  1.00000000e+00  2.33146835e-15  1.88737914e-15
  1.44328993e-15 -7.77156117e-16  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.25375274e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -8.77076189e-15  1.00000000e+00 -1.66533454e-15
 -6.55031585e-15  8.10462808e-15 -3.44169138e-15 -2.55351296e-15
 -3.33066907e-16  1.00000000e+00  2.77555756e-15  1.44328993e-15
  1.44328993e-15 -3.33066907e-16 -3.33066907e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -7.88258347e-15  1.00000000e+00 -7.77156117e-16
 -6.99440506e-15  7.66053887e-15 -2.55351296e-15 -2.99760217e-15
 -3.33066907e-16  1.00000000e+00  3.21964677e-15  9.99200722e-16
  1.44328993e-15  1.11022302e-16 -7.77156117e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -8.32667268e-15  1.00000000e+00  5.55111512e-16
 -6.99440506e-15  6.77236045e-15 -2.99760217e-15 -2.10942375e-15
 -3.33066907e-16  1.00000000e+00  3.66373598e-15  1.44328993e-15
  1.44328993e-15 -7.77156117e-16 -7.77156117e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -7.88258347e-15  1.00000000e+00  1.11022302e-16
 -6.55031585e-15  5.44009282e-15 -2.10942375e-15 -2.10942375e-15
 -3.33066907e-16  1.00000000e+00  4.10782519e-15  9.99200722e-16
  1.44328993e-15 -3.33066907e-16 -1.22124533e-15  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -8.77076189e-15  1.00000000e+00  9.99200722e-16
 -6.99440506e-15  4.99600361e-15 -2.10942375e-15 -1.22124533e-15
 -1.22124533e-15  1.00000000e+00  3.66373598e-15  1.88737914e-15
  1.44328993e-15 -1.66533454e-15 -7.77156117e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -7.43849426e-15  1.00000000e+00  5.55111512e-16
 -6.99440506e-15  4.99600361e-15 -1.66533454e-15 -1.66533454e-15
 -1.66533454e-15  1.00000000e+00  3.66373598e-15  5.55111512e-16
  1.44328993e-15 -7.77156117e-16 -7.77156117e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.07611706e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -8.77076189e-15  1.00000000e+00  1.11022302e-16
 -6.55031585e-15  4.55191440e-15 -1.66533454e-15 -1.22124533e-15
 -1.66533454e-15  1.00000000e+00  4.10782519e-15  1.11022302e-16
  1.44328993e-15 -1.22124533e-15 -3.33066907e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.98729921e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -8.77076189e-15  1.00000000e+00 -7.77156117e-16
 -6.10622664e-15  4.10782519e-15 -7.77156117e-16 -1.66533454e-15
 -1.22124533e-15  1.00000000e+00  4.55191440e-15  1.11022302e-16
  1.44328993e-15 -1.66533454e-15  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.07611706e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -9.21485110e-15  1.00000000e+00 -2.10942375e-15
 -5.21804822e-15  4.99600361e-15 -1.22124533e-15 -2.55351296e-15
 -7.77156117e-16  1.00000000e+00  4.55191440e-15 -7.77156117e-16
  1.44328993e-15 -7.77156117e-16  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.16493490e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -1.05471187e-14  1.00000000e+00 -1.66533454e-15
 -4.77395901e-15  3.66373598e-15 -3.33066907e-16 -2.55351296e-15
 -3.33066907e-16  1.00000000e+00  4.55191440e-15 -3.33066907e-16
  1.44328993e-15 -1.22124533e-15  5.55111512e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.07611706e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -1.23234756e-14  1.00000000e+00 -7.77156117e-16
 -4.32986980e-15  2.33146835e-15 -3.33066907e-16 -1.66533454e-15
  1.11022302e-16  1.00000000e+00  4.99600361e-15  5.55111512e-16
  1.44328993e-15 -1.66533454e-15  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.07611706e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -1.01030295e-14  1.00000000e+00 -2.10942375e-15
 -4.32986980e-15  4.10782519e-15 -7.77156117e-16 -2.99760217e-15
  9.99200722e-16  1.00000000e+00  4.99600361e-15 -3.33066907e-16
  1.44328993e-15 -7.77156117e-16  1.11022302e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -2.07611706e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -9.65894031e-15  1.00000000e+00 -1.66533454e-15
 -4.77395901e-15  4.55191440e-15 -7.77156117e-16 -2.55351296e-15
  5.55111512e-16  1.00000000e+00  4.99600361e-15 -3.33066907e-16
  1.44328993e-15 -1.22124533e-15  5.55111512e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.89848137e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -9.65894031e-15  1.00000000e+00 -1.66533454e-15
 -5.21804822e-15  4.99600361e-15 -1.66533454e-15 -2.10942375e-15
  5.55111512e-16  1.00000000e+00  4.99600361e-15 -3.33066907e-16
  1.44328993e-15 -1.66533454e-15  9.99200722e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.80966353e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -1.09912079e-14  1.00000000e+00 -1.22124533e-15
 -5.21804822e-15  4.10782519e-15 -1.22124533e-15 -2.10942375e-15
  5.55111512e-16  1.00000000e+00  4.99600361e-15 -3.33066907e-16
  1.44328993e-15 -1.66533454e-15  9.99200722e-16  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.80966353e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -1.32116540e-14  1.00000000e+00 -1.66533454e-15
 -4.77395901e-15  3.66373598e-15 -1.22124533e-15 -2.10942375e-15
  5.55111512e-16  1.00000000e+00  4.99600361e-15 -3.33066907e-16
  1.44328993e-15 -2.10942375e-15  1.44328993e-15  1.00000000e+00
 -2.66269715e+00  1.00000000e+00 -1.72084569e-14  2.00000000e+00
  1.00000000e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  1.00000000e+00 -1.32116540e-14  1.00000000e+00 -2.55351296e-15
 -4.32986980e-15  3.21964677e-15 -3.33066907e-16 -2.10942375e-15
  5.55111512e-16  1.00000000e+00]"
