contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
576539,human,-1.140442181011168,0.8264427479633056,0.5842013888888888,68,153,534,1,299,30T,48.0,529
578794,human,-4.646558386006363,2.967760302387261,0.42857142857142855,-70,-97,-3,-1,297,4H,6.0,468
579369,human,-161.47665392229834,16.585225097603338,0.6594090202177294,-133,-239,-1,-1,290,2H,12.0,491
587344,human,-4.872459524639695,2.9157524831774784,0.7027027027027027,-60,-37,-3,-1,293,2H,12.0,589
597849,human,-1.3862260169596374,0.7621374819902843,0.5283422459893048,-31,134,80,1,300,H,24.0,850
645363,human,-0.08009084946201117,0.7432263810819668,0.540495867768595,-145,-270,-104,-1,259,H,24.0,839
646677,human,-1.4071067542779434,0.6437500101507211,0.39244186046511625,-66,122,121,1,300,H,24.0,883
646795,human,-15.23164455656297,2.9081620408899016,0.637,2,100,470,1,299,2H,12.0,505
648358,human,-0.163891583443454,2.6422785216426585,0.586046511627907,-4,-3,-1,-1,298,H,24.0,813
656549,human,-0.03660278350918156,0.9799413829848712,0.463768115942029,-120,-168,-35,1,290,2H,12.0,468
658766,human,-18.378966501489973,5.131246618069291,0.5764023210831721,-35,48,-26,-1,288,2H,12.0,458
658938,human,-10.065090175331196,1.467171487585652,0.548051948051948,16,103,749,1,299,H,24.0,721
664498,human,-0.0893134742423829,2.2559107535383394,0.5531135531135531,-111,-176,-1,-1,299,2H,12.0,495
664693,human,-5.434751007809853,0.9519049893061675,0.5196451204055766,134,219,309,1,300,H,24.0,477
668867,human,-5.882527839022074,1.974803578330971,0.41522988505747127,-47,43,43,1,296,H,24.0,634
669693,human,-0.043710844995973996,1.751545619687263,0.574585635359116,-164,-75,-1,-1,299,H,24.0,493
673338,human,-1.7938148219057717,1.0099302700593655,0.5699404761904762,132,282,223,1,300,30T,48.0,463
674548,human,-0.10098542405539757,1.2133066622993192,0.39087947882736157,-245,-79,-28,-1,280,H,24.0,895
689788,human,-0.255458160052239,1.5602486320245479,0.49246231155778897,14,-13,8,1,300,4H,6.0,385
733774,human,-6.174027923159869,0.9522932325887881,0.5167118337850045,-94,144,722,1,300,30T,48.0,368
