contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
783656,human,0.07056419859432383,1.5912074606302593,0.853125,35,53,93,1,300,4H,6.0,380
784775,human,-7.717631395451518,4.538759280544268,0.9752066115702479,306,408,763,1,297,H,24.0,856
787773,human,-2.3078038287380873,1.7127035746139143,0.6746550472040668,533,794,1241,1,294,H,24.0,818
795565,human,-0.2296409254953884,1.5278719176298434,0.9329359165424739,24,219,353,1,292,H,24.0,569
795985,human,-0.4717694576281799,0.8026504351439983,0.23942701227830832,-1355,-666,-1,-1,300,H,24.0,658
797989,human,-1.3189398663595595,1.401831135738926,0.09178743961352658,-517,-128,-1,-1,298,30T,48.0,462
798388,human,-0.5040701626073962,1.6472452543938356,0.08040201005025126,-298,-41,-5,-1,297,2H,12.0,503
843533,human,-0.14396735212038414,0.6622372380274708,0.9408901251738526,47,326,685,1,295,H,24.0,747
845398,human,-0.20328277598029976,1.3902860271670223,0.14705882352941177,-272,-176,-15,-1,290,3H,8.0,428
847775,human,-84.42544715829503,7.884149721943846,0.0025614754098360654,-1873,-779,-6,-1,298,H,24.0,768
849548,human,-0.0438153706175739,0.7707060693935414,0.8492392807745505,196,206,263,1,297,H,24.0,555
859454,human,0.018219002183231803,0.8199834208912646,0.44163424124513617,1,-185,-3,-1,297,3H,8.0,472
859754,human,-0.1763800767583632,1.4938223460366675,0.8947368421052632,22,165,220,1,298,2H,12.0,483
864856,human,-0.012318457680955186,0.8922393186268541,0.9123831775700935,196,275,401,1,293,H,24.0,860
864943,human,-0.08147326385696685,2.7699621965796313,0.8514851485148515,57,62,72,1,293,H,24.0,329
865858,human,0.028316710356056984,1.088923950089918,0.7758620689655172,-71,-110,-21,-1,294,2H,12.0,547
873354,human,-0.50633560841576,0.6475502922264386,0.1958256599140577,-1220,-577,-12,-1,299,H,24.0,785
885533,human,-0.030138090113326133,0.8471959043672633,0.8511821974965229,-67,-35,238,1,300,H,24.0,500
885899,human,-1.9810477936342323,2.4456323759559133,0.9540481400437637,143,204,646,1,298,H,24.0,855
893864,human,0.05470154428604512,1.320227536131222,0.7574626865671642,-30,-88,-1,-1,300,3H,8.0,454
896363,human,-1.006496184574286,3.2882179916950163,0.9576107899807321,21,177,404,1,299,2H,12.0,502
897436,human,-0.1015482927939606,1.7030230305294582,0.9172749391727494,141,217,216,1,298,H,24.0,339
897688,human,-15.056238561286083,4.610907917192661,0.01095290251916758,-785,-70,-1,-1,300,30T,48.0,483
933837,human,-17.989183450631334,2.8830254367074937,0.024210526315789474,-1182,-387,-3,-1,299,H,24.0,684
946773,human,0.004637013932262124,0.9868424891121519,0.9015256588072122,312,343,336,1,300,H,24.0,684
947579,human,-1.5770758017450595,2.5446433493897267,0.04895104895104895,-194,-89,-1,-1,299,30T,48.0,389
949698,human,0.009428762210969222,1.4051843313695789,0.8509933774834437,-130,-164,-37,-1,288,2H,12.0,476
954443,human,-0.03970216196544807,0.955743849365547,0.40865384615384615,-134,-147,-2,-1,299,30T,48.0,577
955787,human,-270292.84835792973,135.64711171743187,0.010150119413169567,-7924,-1666,-1,-1,300,8T,168.0,360
957953,human,0.02852333359149184,0.44450549695994745,0.35040234089246525,51,65,-2,-1,298,H,24.0,866
966834,human,0.044110376781190674,1.8101660217683766,0.8691275167785235,39,40,64,1,296,3H,8.0,424
976375,human,-0.038656530821147506,1.1170910933823996,0.5605700712589073,-47,-96,-1,-1,299,H,24.0,449
977484,human,-0.004911526380551701,0.6337141058264455,0.9309440559440559,225,394,502,1,300,H,24.0,728
978678,human,0.0028860067302615144,0.8427239571251729,0.5285451197053407,2,93,93,1,294,30T,48.0,459
979384,human,0.016573675144554323,1.5879039107450907,0.8150943396226416,-62,-92,-1,-1,298,2H,12.0,498
983548,human,0.301911002254575,0.5676631832374979,0.27253218884120173,-381,-203,-8,-1,296,H,24.0,718
983874,human,-0.31460632155555834,1.9425970275266935,0.8799019607843137,157,217,234,1,297,H,24.0,559
985588,human,-0.4309015450924447,1.0773731018830697,0.37960339943342775,-18,-281,-1,-1,300,H,24.0,313
987894,human,-0.00819384236302545,0.9271224919043808,0.46206896551724136,-264,-147,-2,-1,296,H,24.0,543
988439,human,-151.72403520946023,18.764254576062246,0.9971509971509972,85,315,629,1,288,H,24.0,411
