contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
gitguardian[bot],bot,-1.6965568025142042,1.525898699608839,0.8637602179836512,24,116,177,1,300,10T,144.0,362
gitpod-io[bot],bot,-0.9923925249147163,0.4241456066731727,0.4779191616766467,99,1063,1832,1,300,30T,48.0,565
google-ml-butler[bot],bot,0.1437883702725724,1.2534320072955414,0.7433962264150943,-24,-36,-1,-1,300,H,24.0,359
google-oss-bot,bot,0.5949252139806751,1.5328062929994701,0.8825757575757576,41,71,106,1,300,20T,72.0,362
graalvmbot,bot,-0.16056258186507089,0.9364416763607014,0.4909819639278557,9,-146,-1,-1,299,20T,72.0,372
graviteeio,bot,-429.49017590143467,21.602294447266086,0.9985163204747775,282,660,1304,1,294,30T,48.0,523
guardrails[bot],bot,-0.10176136408912084,0.6786175699967042,0.3939393939393939,-64,-167,-5,-1,296,30T,48.0,403
hashicorp-cla,bot,-0.04291413154315804,0.5528646948018475,0.4090909090909091,-421,-245,-1,-1,300,H,24.0,730
hasura-bot,bot,0.04354950986616113,0.9438215906769941,0.7388059701492538,-41,21,74,1,297,H,24.0,509
hft-team-city,bot,-0.15478459985961157,2.0704777348046153,0.17110266159695817,-260,-223,-24,-1,269,H,24.0,329
ibmdotcom-bot,bot,-8.484275214578878,5.968826108190471,0.968609865470852,53,320,388,1,297,H,24.0,404
ionitron-bot[bot],bot,0.0836875485954931,1.0139281669671496,0.7716535433070866,27,68,87,1,298,3H,8.0,460
istio-policy-bot,bot,0.5398176324823148,0.41434193880520037,0.8604143947655398,2,106,221,1,291,H,24.0,655
jbosstm-bot,bot,-0.0075075482012341155,1.615396350580198,0.36220472440944884,-173,-30,-7,-1,290,2H,12.0,471
jenkins-x-bot-test,bot,-0.059053720109918606,2.3038623899409063,0.5238095238095238,-138,-93,-5,-1,275,6H,4.0,361
jetstack-bot,bot,-0.15612678614660758,1.6684788402706516,0.8677248677248677,142,177,186,1,295,30T,48.0,343
jitsi-jenkins,bot,-1.7723555062908596,2.865425657367424,0.9109730848861284,58,234,351,1,299,30T,48.0,341
johnpbloch-bot,bot,-1.3449992481620754,1.7169338529202929,0.9207232267037552,84,246,504,1,300,2H,12.0,503
jujubot,bot,-0.8834367560873344,2.2759513242986693,0.8993506493506493,27,121,182,1,297,4H,6.0,473
knative-prow-robot,bot,-0.2720717525513847,1.5439313885539026,0.8734177215189873,-4,67,235,1,300,3H,8.0,446
ks-ci-bot,bot,-0.014239668846270037,0.9737509638273569,0.24061810154525387,-263,-194,-21,-1,297,H,24.0,594
kubevirt-commenter-bot,bot,-1.1393464773611615,0.5345583200187327,0.22703273495248152,-600,-404,-1,-1,300,H,24.0,595
lgtm-com[bot],bot,-3.7174087072906,9.779251921320732,0.8843537414965986,-5,-17,44,1,296,4T,,406
lingohub[bot],bot,-0.03748182575797987,0.589087237061736,0.07103825136612021,-529,-253,-16,-1,296,2H,12.0,505
linux-foundation-easycla[bot],bot,-0.1895250394676764,0.7474257412555645,0.6236323851203501,107,78,39,1,298,30T,48.0,362
livingdocs-automation,bot,-0.03317424127344282,1.3085646682971293,0.5813333333333334,-9,11,-1,-1,297,H,24.0,305
mender-test-bot,bot,-1.212030955468868,2.10247778703457,0.8888888888888888,82,236,274,1,296,H,24.0,499
metal3-io-bot,bot,-0.49819436792501115,1.5472831183478675,0.9113475177304965,27,294,345,1,298,30T,48.0,529
metamaskbot,bot,-0.059222230670452625,1.1893759877745544,0.4163265306122449,-92,-88,-3,-1,297,30T,48.0,453
minikube-bot,bot,0.004178380416834826,1.0571585952090483,0.7067448680351907,-41,-115,-1,-1,300,2H,12.0,455
minikube-pr-bot,bot,0.0670485336983958,1.0307291731304358,0.7131578947368421,26,29,71,1,300,3H,8.0,478
minio-trusted,bot,-0.7614235261792255,0.703788534510291,0.21043324491600354,-902,-624,-1,-1,300,H,24.0,499
miss-islington,bot,-0.3984164095786835,1.3508346322837277,0.3463414634146341,-228,-136,-3,-1,296,H,24.0,313
