contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
rultor,bot,-1.2188298593062883,4.131580784479072,0.11347517730496454,-92,-52,-1,298,H,113
rust-timer,bot,-0.36615438268783507,4.114336987805375,0.3191489361702128,-34,-30,-1,299,H,147
rustbot,bot,-0.4489952509984414,1.6207890480949652,0.7009803921568627,18,30,62,300,H,220
sagemaker-bot,bot,-0.06310386732597406,3.7875077624097004,0.6891891891891891,-8,-12,5,297,H,129
salesforce-cla[bot],bot,-0.10593240901730772,8.326163765488383,0.10869565217391304,-19,-19,-1,300,D,85
scrutinizer-notifier,bot,-0.1708283660051788,1.203200171884744,0.8875,59,192,396,300,H,657
sentry-io[bot],bot,-0.017522716760480117,3.854407068789195,0.6285714285714286,0,2,2,299,D,32
similar-code-searcher[bot],bot,-0.06677275709527675,4.108233252281673,0.4523809523809524,-4,-13,-1,298,D,45
skia-flutter-autoroll,bot,-0.5500497864878191,3.1652904239973263,0.75,1,10,28,300,H,139
softwarefactory-project-zuul[bot],bot,-1.041345291624078,2.4640536337582306,0.22072072072072071,-105,-56,-1,300,H,167
soloio-bot,bot,-0.11772691110851397,1.2576001084172312,0.9616477272727273,39,366,263,275,H,574
sourcegraph-bot,bot,-4.716443480322149,4.144241175362061,0.765625,26,31,74,298,T,75
spinnakerbot,bot,-0.6321332026445963,14.992142663658717,0.2727272727272727,-17,-12,-2,291,D,43
spring-builds,bot,0.026592664069161054,4.333532733575427,0.4426229508196721,-19,-24,-1,300,D,74
sprucelabs-ci,bot,-0.29983808270588175,9.576165106332171,0.18181818181818182,-31,-28,-18,287,H,53
sre-bot,bot,-1.449438053994879,0.7990700877015986,0.9545983701979045,783,1510,1883,294,H,661
stakater-user,bot,-11.589477989632222,3.0680037295182268,0.9374449339207048,325,605,932,298,H,193
status-im-auto,bot,-1.505034339714478,1.8426260780617743,0.05673758865248227,-223,-84,-1,299,H,283
submariner-bot,bot,-23.601561215015593,15.863709101230551,0.9723502304147466,32,121,181,298,H,131
swift-ci,bot,0.05667940036778918,1.2692185889133947,0.5235294117647059,-24,-23,1,299,T,124
taichi-gardener,bot,-0.045118568793609315,10.73472640524967,0.44,-7,-10,-7,240,D,33
thundernest-bot,bot,-5.421704769505346,14.30947800621164,0.9,2,11,36,299,D,69
translatewiki,bot,-0.1561423169176268,1.2976548201907332,0.03968253968253968,-1,-49,-1,264,H,408
tykbot[bot],bot,-0.6362978226753668,8.096144262811316,0.7105263157894737,3,3,11,294,D,54
usercont-release-bot,bot,0.8267648914185072,0.6914978527570459,0.8990825688073395,-24,0,0,297,H,263
va-bot,bot,0.7983426797964965,1.3396761244351194,0.62,-1,-1,-1,299,D,52
vc-ci,bot,-4.759949230417042,6.945947929454277,0.9535714285714286,47,168,202,299,H,143
violinist-bot,bot,-1.2637479425445406,4.329404859196334,0.8823529411764706,27,85,113,295,H,172
vmwclabot,bot,-0.7239546413655615,1.266377771174823,0.8873239436619719,216,311,440,297,H,553
vscode-issue-tracker-bot,bot,0.0,4.810966440042345e-18,0.9566666666666667,0,0,0,300,H,300
vtex-io-ci-cd[bot],bot,0.05974558879563474,1.0901171674737653,0.8337182448036952,-94,-52,37,297,H,527
vtex-io-docs-bot[bot],bot,-1.7467722146371507,9.556307786250795,0.9436619718309859,16,18,35,293,D,42
welcome[bot],bot,-0.9565888883004987,2.94775579837709,0.06451612903225806,-88,-48,-5,289,H,129
wet-boew-bot,bot,0.42401070519236594,5.81978099869226,0.8245614035087719,0,7,7,295,D,71
wso2-jenkins-bot,bot,-0.08225264473695137,1.804435868795794,0.7247706422018348,22,67,46,299,H,188
335498,human,-140.90660792317598,19.874109202495738,0.9917808219178083,268,324,646,297,H,168
335745,human,-8.82951346143848,43.06673402942863,0.9333333333333333,2,2,35,286,D,56
353444,human,-14.7216022694289,13.869333711433342,0.9583333333333334,12,46,70,298,D,42
355383,human,-0.5188118162920203,7.205913678374341,0.2972972972972973,-13,-18,-4,279,D,40
359854,human,-17.437479921185513,6.611224196186621,0.9324618736383442,7,108,330,298,H,435
364686,human,0.0889650086820184,1.3614138894583652,0.7342342342342343,-20,-8,-3,297,H,275
367939,human,0.02755894997528474,1.2836424078603752,0.8350785340314136,65,56,79,300,H,476
368375,human,-3.476399910688876,9.546125175976428,0.8240740740740741,9,48,66,299,H,120
373769,human,-0.06619423869964969,6.206245000833874,0.7468354430379747,-14,-7,14,260,D,55
374774,human,-0.15781013728392335,1.3816997804397353,0.8634361233480177,-22,72,177,298,H,386
376887,human,-0.0678706714416275,0.9795994489599875,0.5859269282814614,67,96,330,294,H,338
377538,human,-0.27341451817805895,3.0778985513421535,0.0916030534351145,-91,-46,-11,295,H,166
377543,human,-141.45102324749598,32.03205280055895,0.8674698795180723,16,43,64,288,D,51
387658,human,-4.7502268022414675,24.37141065204919,0.9534883720930233,9,18,28,300,D,30
387854,human,0.12297552463538897,0.6282865921036916,0.6280623608017817,-1,-3,-1,300,H,560
437693,human,-0.8566671038388813,7.519155536851809,0.8674698795180723,-10,18,29,270,H,171
437766,human,-0.7889528063078999,9.405603605105412,0.8717948717948718,6,8,16,295,D,34
438655,human,0.3161304877243932,5.184271618698852,0.5476190476190477,-8,-6,-7,283,D,77
446498,human,-0.8109170478106702,1.6274783273194202,0.9120879120879121,76,248,417,300,H,298
449544,human,-0.6752327877248516,9.199218627823406,0.13636363636363635,-21,-7,-1,298,D,56
449583,human,-0.5194362127145602,7.876300678137815,0.8292682926829268,7,8,16,291,D,35
454496,human,0.05396407532904479,1.1522040590376779,0.8237986270022883,-24,42,107,297,H,549
454638,human,-34.185933061888946,44.206067654390324,0.98,12,19,26,264,D,66
455745,human,-0.4407290084666702,1.5990817648314815,0.38461538461538464,60,-198,-138,295,H,217
456995,human,-8.101824702032323,14.303044712672838,0.9577464788732394,4,26,48,295,D,63
459877,human,-481.31333904455494,60.645542844745904,0.7894736842105263,11,25,44,299,D,36
465566,human,-0.36759708161545745,1.0219361785076995,0.449438202247191,94,189,-8,295,H,272
473965,human,-0.38203196228129355,1.6718641521028916,0.33459357277882795,71,95,133,297,H,199
475849,human,0.08876672914181827,4.570820085005114,0.4153846153846154,-7,-20,-10,272,D,54
483648,human,-0.21596746540049216,3.9445060939463596,0.40625,-16,-20,-7,293,D,68
487355,human,-0.025505666077164202,6.843305371314125,0.6808510638297872,-12,-13,1,299,D,59
489848,human,-1.4735366130031338,9.854255641718186,0.8780487804878049,4,18,18,293,D,52
535599,human,-0.1303447261864492,3.559520422902135,0.43333333333333335,-19,-25,-2,295,D,54
537443,human,-0.3712710756844386,11.68775580126377,0.47619047619047616,-4,-7,-2,292,D,30
543595,human,-0.09676620145310388,1.027365234614153,0.7995049504950495,23,56,70,300,H,385
549789,human,0.010597637244353586,1.7726824026919126,0.8793103448275862,87,30,-1,296,H,670
553976,human,-1.8734763410171738,9.033172737853414,0.125,-35,-20,-1,299,D,31
