contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
558473,human,0.07749260357926546,1.0181161435626982,0.8813559322033898,48,148,239,296,H,484
567384,human,-0.10477215060433998,1.3377136840533683,0.2318840579710145,-371,-252,-1,300,H,359
567396,human,0.2476283490064034,5.450824690663025,0.6818181818181818,-1,-1,2,298,D,55
567743,human,0.25943291816316294,4.896269394156328,0.203125,-17,-46,-22,264,D,72
576539,human,-0.27229020494212053,1.379215388031798,0.2847222222222222,-427,-289,-2,299,H,265
578794,human,-0.10334785120479961,4.365553494867616,0.5283018867924528,-7,-5,-1,297,D,78
579369,human,-0.28368946472648227,15.553847181936739,0.8909090909090909,-9,-9,-1,205,D,41
587344,human,0.36965597236431325,8.071789761469807,0.8409090909090909,-3,8,14,274,D,49
597849,human,-0.5712843699501395,9.042087349586344,0.775,2,11,13,300,D,36
645363,human,-0.035108630699348886,10.897780471113425,0.6153846153846154,-1,-1,-2,259,D,35
646677,human,-1.2728016568954041,8.52898469714169,0.75,1,13,17,292,D,37
646795,human,-5.324232009996364,14.92647076141718,0.9411764705882353,2,14,45,279,D,42
648358,human,-0.07624243986391965,30.839997208561464,0.7,3,-1,-1,282,D,34
656549,human,-0.5069144474199483,10.732710629132388,0.7872340425531915,-4,-5,13,282,D,39
658766,human,0.1089202070991937,6.639293816689757,0.7954545454545454,-5,2,0,264,D,38
658938,human,-0.3608491697189218,6.7297193215651445,0.4153846153846154,-6,-46,-7,281,D,30
664498,human,0.03190137269284199,11.631240242751625,0.8333333333333334,-3,-8,-2,292,D,41
664693,human,-0.14642205452602552,0.7513508600611131,0.8162230671736375,109,179,252,300,H,477
668867,human,0.03628129591830764,0.7482143954730435,0.41810344827586204,-64,18,-22,296,H,634
669693,human,0.0036839062754384644,1.7239838345145204,0.30939226519337015,-164,-75,-1,299,H,493
673338,human,-0.9744310036154618,2.3628089751002137,0.16023738872403562,-210,-52,-6,296,H,231
674548,human,-0.9723324577514818,17.691824218558565,0.0,-11,-4,-2,280,D,37
689788,human,-0.101131314298738,6.360636836783797,0.8529411764705882,7,10,14,294,D,64
733774,human,-1.8119007534185663,2.5601852011335606,0.1299638989169675,-531,-362,-1,300,H,184
735987,human,-0.3233622429416134,17.986271160467634,0.21428571428571427,-9,-7,-1,295,D,33
743485,human,-3.8787618462116713,3.9442433930182976,0.9787472035794184,526,735,813,300,H,553
744346,human,-1.1917501820491996,5.960187284992402,0.1724137931034483,-30,-16,-1,298,D,64
748599,human,-348.0506594529904,81.41412735517227,0.9888888888888889,17,57,77,297,D,48
754548,human,-4.167103428869698,5.698413094510598,0.07317073170731707,-81,-54,-1,299,H,172
754564,human,-0.39904550123596394,1.634764547457308,0.9068219633943427,85,200,363,297,H,453
755587,human,-0.06422899986323061,0.7931518226651645,0.26429479034307496,-594,-408,-23,298,H,579
757389,human,-69.71927791972533,75.40678603896673,1.0,17,21,46,286,H,167
758333,human,-20.813706532424515,4.212474232841269,0.044657097288676235,-759,-563,-2,298,H,635
763394,human,-2.7755147482570126,14.082600669895054,0.6349206349206349,-10,-3,25,286,D,32
767954,human,-4.26402079266665,15.414750156348642,0.7857142857142857,3,6,19,295,D,33
769343,human,0.27185715654150455,6.051749262195747,0.375,-1,-2,-3,280,D,28
769399,human,-0.031597749302887834,0.6984290916380209,0.8234552332912989,148,237,210,297,H,642
773356,human,0.17465544147137613,7.930655141188385,0.71875,-1,6,7,290,D,34
783656,human,-0.34693048602771226,6.300795529028121,0.8148148148148148,5,11,18,298,D,64
784775,human,-0.3428743216879975,10.862349244587797,0.7777777777777778,5,3,12,289,D,36
787773,human,-1.9085212033928922,13.157464937286624,0.22413793103448276,-39,-26,-10,276,D,34
795565,human,-0.2296409254953884,1.5278719176298434,0.9329359165424739,24,219,353,292,H,569
795985,human,-0.4717694576281799,0.8026504351439983,0.23942701227830832,-1355,-666,-1,300,H,658
797989,human,-1.4993011851596982,2.4652052529666837,0.0707395498392283,-259,-65,-1,298,H,231
798388,human,-0.23667796018597187,11.040631311277124,0.7058823529411765,0,14,9,297,D,42
843533,human,-4.63650141094149,14.311245449323946,0.8852459016393442,4,13,34,290,D,31
845398,human,-1.5566345580107783,9.496067859501798,0.06666666666666667,-35,-23,-2,290,D,54
847775,human,-4.432457035980992,19.10007959212042,0.0975609756097561,-79,-33,-1,298,D,32
849548,human,-0.0438153706175739,0.7707060693935414,0.8492392807745505,196,206,263,297,H,555
859454,human,-0.15816159275718955,4.4680982088100345,0.26153846153846155,-47,-26,-1,288,D,59
859754,human,-1.9871283489548213,10.70706685944552,0.8636363636363636,1,11,18,284,D,40
864856,human,-1.434110286286428,12.50489897422578,0.8888888888888888,8,12,17,293,D,36
864943,human,-0.08147326385696685,2.7699621965796313,0.8514851485148515,57,62,72,293,H,329
865858,human,-0.13203350540982983,7.505320469831765,0.4,-11,-11,-4,281,D,45
873354,human,-0.9092544151188984,6.312259582324563,0.7681159420289855,8,22,36,297,D,33
885533,human,-0.030138090113326133,0.8471959043672633,0.8511821974965229,-67,-35,238,300,H,500
885899,human,-2.0325609930844357,15.779774373766204,0.8461538461538461,0,0,8,280,D,36
893864,human,-0.06855571870819532,6.5611041999019415,0.6,-2,-10,-1,300,D,57
896363,human,-0.07673303130528142,7.52475936900128,0.8181818181818182,-11,-3,9,289,D,42
897436,human,-0.1015482927939606,1.7030230305294582,0.9172749391727494,141,217,216,298,H,339
897688,human,-6.958749227096444,5.275963377550638,0.024070021881838075,-393,-36,-1,300,H,242
933837,human,-94.2679728483042,52.46510881918384,1.0,26,56,68,299,D,28
946773,human,-0.9655677761927421,16.004854593016443,0.9032258064516129,14,15,16,299,D,28
947579,human,-1.3807574271734264,4.140739749837437,0.10697674418604651,-97,-45,-1,299,H,194
949698,human,0.30257035273393207,8.536322372161617,0.46153846153846156,-12,-14,-5,276,D,39
954443,human,-0.10337459786262304,1.8477364665391642,0.36538461538461536,-101,-74,-1,299,H,289
955787,human,-474459.6556768766,370.9105907479055,0.0,-3171,-667,-1,300,T,144
957953,human,-0.25464195246109744,5.2406097903752125,0.8620689655172413,6,18,23,296,D,36
966834,human,0.07030302886354212,7.341856272492959,0.6842105263157895,1,-2,-1,296,D,53
976375,human,-0.038656530821147506,1.1170910933823996,0.5605700712589073,-47,-96,-1,299,H,449
977484,human,-0.6241766767155987,9.707978334365054,0.125,-29,-14,-1,299,D,31
978678,human,-0.2835270160686849,2.00329858185182,0.33088235294117646,-197,-78,-2,294,H,230
979384,human,-0.017146472672591395,13.63011281379699,0.6086956521739131,-4,-6,-1,298,D,42
983548,human,-0.7478220076060882,10.66612605728719,0.1,-17,-9,-1,292,D,30
983874,human,-0.31460632155555834,1.9425970275266935,0.8799019607843137,157,217,234,297,H,559
985588,human,-0.4309015450924447,1.0773731018830697,0.37960339943342775,-18,-281,-1,300,H,313
987894,human,-0.00819384236302545,0.9271224919043808,0.46206896551724136,-264,-147,-2,296,H,543
988439,human,-151.72403520946023,18.764254576062246,0.9971509971509972,85,315,629,288,H,411
